"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","85,658.03","86,065.92","86,104.36","85,588.88","5.26M","-0.06%"
"11/28/2025","85,706.67","85,791.55","85,969.89","85,577.82","6.39M","-0.02%"
"11/27/2025","85,720.38","85,745.05","86,055.86","85,473.85","15.81M","0.13%"
"11/26/2025","85,609.51","84,503.44","85,644.19","84,478.13","13.84M","1.21%"
"11/25/2025","84,587.01","85,008.93","85,110.24","84,536.73","6.17M","-0.37%"
"11/24/2025","84,900.71","85,320.04","85,473.47","84,710.11","9.64M","-0.39%"
"11/21/2025","85,231.92","85,347.40","85,609.40","85,187.84","14.17M","-0.47%"
"11/20/2025","85,632.68","85,470.92","85,801.70","85,201.22","24.29M","0.52%"
"11/19/2025","85,186.47","84,643.78","85,236.77","84,525.98","8.86M","0.61%"
"11/18/2025","84,673.02","85,042.37","85,042.41","84,558.36","10.66M","-0.33%"
"11/17/2025","84,950.95","84,700.50","84,988.09","84,581.08","10.48M","0.46%"
"11/14/2025","84,562.78","84,060.14","84,697.87","84,029.32","8.85M","0.10%"
"11/13/2025","84,478.67","84,525.89","84,919.43","84,253.05","25.58M","0.01%"
"11/12/2025","84,466.51","84,238.86","84,652.01","84,166.75","9.14M","0.71%"
"11/11/2025","83,871.32","83,671.52","83,936.47","83,124.03","16.47M","0.40%"
"11/10/2025","83,535.35","83,198.20","83,754.49","83,197.67","11.91M","0.38%"
"11/07/2025","83,216.28","83,150.15","83,390.11","82,670.95","15.94M","-0.11%"
"11/06/2025","83,311.01","83,516.69","83,846.35","83,237.65","17.92M","-0.18%"
"11/04/2025","83,459.15","84,000.64","84,068.01","83,412.77","9.51M","-0.62%"
"11/03/2025","83,978.49","83,835.10","84,127.00","83,609.54","1.35M","0.05%"
"10/31/2025","83,938.71","84,379.79","84,712.79","83,905.66","13.27M","-0.55%"
"10/30/2025","84,404.46","84,750.90","84,906.95","84,312.65","14.20M","-0.70%"
"10/29/2025","84,997.13","84,663.68","85,105.83","84,638.68","13.56M","0.44%"
"10/28/2025","84,628.16","84,625.71","84,986.94","84,219.39","12.94M","-0.18%"
"10/27/2025","84,778.84","84,297.39","84,932.08","84,294.20","11.96M","0.67%"
"10/24/2025","84,211.88","84,667.23","84,707.44","83,957.15","13.58M","-0.41%"
"10/23/2025","84,556.40","85,154.15","85,290.06","84,445.25","25.72M","0.15%"
"10/21/2025","84,426.34","84,484.67","84,665.44","84,286.40","3.39M","0.07%"
"10/20/2025","84,363.37","84,269.30","84,656.56","84,196.79","10.94M","0.49%"
"10/17/2025","83,952.19","83,331.78","84,172.24","83,206.08","14.33M","0.58%"
"10/16/2025","83,467.66","82,794.79","83,615.48","82,791.35","27.40M","1.04%"
"10/15/2025","82,605.43","82,197.25","82,727.02","82,084.37","10.64M","0.70%"
"10/14/2025","82,029.98","82,404.54","82,573.37","81,781.62","12.57M","-0.36%"
"10/13/2025","82,327.05","82,049.16","82,438.50","82,043.14","9.04M","-0.21%"
"10/10/2025","82,500.82","82,075.45","82,654.11","82,072.93","13.74M","0.40%"
"10/09/2025","82,172.10","81,900.00","82,247.73","81,667.68","23.15M","0.49%"
"10/08/2025","81,773.66","81,899.51","82,257.74","81,646.08","15.22M","-0.19%"
"10/07/2025","81,926.75","81,883.95","82,309.56","81,787.48","13.91M","0.17%"
"10/06/2025","81,790.12","81,274.79","81,846.42","81,155.88","8.77M","0.72%"
"10/03/2025","81,207.17","80,684.14","81,251.99","80,649.57","13.62M","0.28%"
"10/01/2025","80,983.31","80,173.24","81,068.43","80,159.90","22.27M","0.89%"
"09/30/2025","80,267.62","80,541.77","80,677.82","80,201.15","7.08M","-0.12%"
"09/29/2025","80,364.94","80,588.77","80,851.38","80,248.84","8.57M","-0.08%"
"09/26/2025","80,426.46","80,956.01","81,033.09","80,332.41","10.74M","-0.90%"
"09/25/2025","81,159.68","81,574.31","81,840.73","81,092.89","14.80M","-0.68%"
"09/24/2025","81,715.63","81,917.65","82,045.47","81,607.84","15.07M","-0.47%"
"09/23/2025","82,102.10","82,147.37","82,370.38","81,776.53","9.30M","-0.07%"
"09/22/2025","82,159.97","82,151.07","82,583.16","81,997.29","10.31M","-0.56%"
"09/19/2025","82,626.23","82,946.04","82,978.63","82,485.92","9.65M","-0.47%"
"09/18/2025","83,013.96","83,108.92","83,141.21","82,704.92","14.61M","0.39%"
"09/17/2025","82,693.71","82,506.40","82,741.95","82,490.47","14.65M","0.38%"
"09/16/2025","82,380.69","81,852.11","82,443.48","81,779.94","8.21M","0.73%"
"09/15/2025","81,785.74","81,925.51","81,998.51","81,744.70","10.53M","-0.15%"
"09/12/2025","81,904.70","81,758.95","81,992.85","81,641.38","11.06M","0.44%"
"09/11/2025","81,548.73","81,217.30","81,642.22","81,216.91","13.55M","0.15%"
"09/10/2025","81,425.15","81,504.36","81,643.88","81,235.42","11.83M","0.40%"
"09/09/2025","81,101.32","81,129.69","81,181.37","80,927.97","6.31M","0.39%"
"09/08/2025","80,787.30","80,904.40","81,171.38","80,733.07","8.74M","0.09%"
"09/05/2025","80,710.76","81,012.42","81,036.56","80,321.19","8.19M","-0.01%"
"09/04/2025","80,718.01","81,456.67","81,456.67","80,608.94","17.03M","0.19%"
"09/03/2025","80,567.71","80,295.99","80,671.28","80,004.60","17.06M","0.51%"
"09/02/2025","80,157.88","80,520.09","80,761.14","80,008.50","8.19M","-0.26%"
"09/01/2025","80,364.49","79,828.99","80,406.84","79,818.38","6.03M","0.70%"
